No.	ID	loglik_all	loglik_Max
1	1	-1130.1056	-1118.7664
2	2	-762.8262	-752.50544
3	3	-785.66104	-774.2269
4	4	-1029.3485	-1018.3434
5	5	-744.50428	-740.57685
6	6	-1640.7371	-1630.5351
7	7	-1404.6994	-1394.1936
8	8	-1038.6763	-1027.4735
9	9	-1213.9754	-1204.4391
0	0	-763.73334	-751.90306
1	1	-1130.0371	-1118.8622
2	2	-763.12504	-752.84994
3	3	-785.98226	-774.52752
4	4	-1029.542	-1018.4893
5	5	-744.70761	-739.85923
6	6	-1640.6314	-1630.2248
7	7	-1404.5126	-1394.0734
8	8	-1038.6355	-1027.611
9	9	-1213.725	-1205.293
