# GREAT version 3.0.0	Species assembly: hg19	"Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded"										
# Ontology	 Term Name 	 Hyper Rank 	 Hyper Raw P-Value 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Foreground Region Hits 	 Hyper Total Regions 	 Hyper Region Set Coverage 	 Hyper Foreground Gene Hits 	 Hyper Background Gene Hits 	 Total Genes Annotated	Genes
GO Biological Process	"regulation of synaptic transmission, glutamatergic"	21	3.18329E-06	0.000947103	2.607457	30	1161	0.01532176	9	30	31	
GO Biological Process	anatomical structure arrangement	22	3.47555E-06	0.000987057	3.153393	22	704	0.01123596	5	11	12	
Mouse Phenotype	abnormal olfactory bulb granule cell layer morphology	1	2.15E-11	1.25E-07	5.154466	26	509	0.01327886	3	5	6	DAB1
Mouse Phenotype	abnormal hippocampus layer morphology	2	1.01E-08	2.95404E-05	2.280202	59	2611	0.03013279	13	75	98	"PROX1, KLF7, FOXG1, DAB1, TNR"
Mouse Phenotype	abnormal hippocampus pyramidal cell layer	3	1.14E-08	2.22334E-05	2.444816	51	2105	0.02604699	10	59	78	
Mouse Phenotype	abnormal hippocampus pyramidal cell morphology	4	2.03E-08	2.95159E-05	2.791088	39	1410	0.01991828	7	43	60	
Mouse Phenotype	abnormal subplate morphology	5	2.48E-08	2.88669E-05	4.423967	21	479	0.01072523	2	6	9	
Mouse Phenotype	abnormal hippocampus region morphology	6	6.05E-08	5.8804E-05	2.216032	56	2550	0.02860061	13	46	54	
Mouse Phenotype	abnormal dentate gyrus morphology	7	2.44E-07	0.000203494	1.887788	75	4009	0.03830439	20	82	97	
Mouse Phenotype	absent cerebellar foliation	8	3.29E-07	0.000239513	3.131646	27	870	0.01378958	5	13	14	
Mouse Phenotype	abnormal stellate ganglion morphology	9	5.36E-07	0.000346997	4.409887	17	389	0.008682329	3	6	7	
Mouse Phenotype	abnormal olfactory bulb layer morphology	10	5.50E-07	0.000320698	2.908895	29	1006	0.01481103	6	18	20	
Mouse Phenotype	pale lung	11	1.29271E-06	0.000684901	6.529379	11	170	0.005617978	2	6	6	
Mouse Phenotype	accessory spleen	12	1.59338E-06	0.000773852	12.39228	7	57	0.003575077	2	4	6	
Mouse Phenotype	abnormal hippocampus CA2 region morphology	13	1.62916E-06	0.000730365	3.553119	20	568	0.0102145	2	8	10	
Mouse Phenotype	thymus atrophy	14	2.32753E-06	0.000968916	2.600304	31	1203	0.01583248	7	45	55	
Mouse Phenotype	abnormal Ammon gyrus morphology	15	3.29898E-06	0.001281762	2.018172	51	2550	0.02604699	12	47	59	
Mouse Phenotype	abnormal hippocampus neuron morphology	16	4.19736E-06	0.001528887	1.929287	56	2929	0.02860061	13	80	101	
Mouse Phenotype	failure to form blastocele	17	4.36214E-06	0.001495446	3.210728	21	660	0.01072523	6	19	25	
Mouse Phenotype	abnormal superior cervical ganglion morphology	18	4.95211E-06	0.001603384	2.461185	32	1312	0.01634321	10	25	31	
Mouse Phenotype	abnormal blastocoele morphology	19	5.23654E-06	0.001606239	3.172276	21	668	0.01072523	6	22	28	
Mouse Phenotype	abnormal blastocyst formation	20	5.60339E-06	0.001632827	3.158093	21	671	0.01072523	6	21	28	
Human Phenotype	Abnormality of complement system	1	8.06E-10	2.4275E-06	8.137789	15	186	0.007660878	3	8	13	
Human Phenotype	Recurrent Neisserial infections	2	9.31E-10	1.40129E-06	8.885032	14	159	0.007150153	2	5	7	
Human Phenotype	Complement deficiency	3	2.07E-09	2.07507E-06	8.359291	14	169	0.007150153	2	6	9	
Human Phenotype	Recurrent gram-negative bacterial infections	4	3.02E-09	2.27278E-06	8.119081	14	174	0.007150153	2	10	14	
Human Phenotype	Abnormality of humoral immunity	5	3.39458E-06	0.002044217	2.466654	33	1350	0.01685393	13	67	110	
Disease Ontology	small intestine carcinoma	2	1.10876E-05	0.007700338	5.799344	10	174	0.005107252	2	5	5	
MSigDB Pathway	Lissencephaly gene (LIS1) in neuronal migration and development	1	2.62E-07	0.000345441	3.838913	21	552	0.01072523	3	22	28	
MSigDB Pathway	Genes involved in Complement cascade	2	3.00E-07	0.000197614	5.219409	15	290	0.007660878	3	17	29	
MSigDB Pathway	Systemic lupus erythematosus	3	6.18E-07	0.000271814	3.393125	23	684	0.01174668	5	56	132	
MSigDB Pathway	Genes involved in PKA-mediated phosphorylation of CREB	4	2.59451E-06	0.00085554	5.504104	12	220	0.006128703	2	16	17	
MSigDB Pathway	Hypoxia-Inducible Factor in the Cardiovascular System	5	3.0946E-06	0.000816356	4.616732	14	306	0.007150153	4	12	15	
MSigDB Pathway	HIF-1-alpha transcription factor network	6	3.95755E-06	0.00087	2.310407	37	1616	0.01889683	11	55	66	
MSigDB Pathway	Complement and coagulation cascades	7	1.05858E-05	0.00199466	3.901105	15	388	0.007660878	3	39	69	
MSigDB Pathway	Oxidative Stress Induced Gene Expression Via Nrf2	8	1.11662E-05	0.001841022	4.767334	12	254	0.006128703	3	11	13	
MSigDB Pathway	LPA4-mediated signaling events	9	1.18429E-05	0.001735641	4.38733	13	299	0.006639428	3	14	15	
MSigDB Pathway	p38 signaling mediated by MAPKAP kinases	10	1.20472E-05	0.001589022	4.094841	14	345	0.007150153	4	18	21	
MSigDB Pathway	Repression of Pain Sensation by the Transcriptional Regulator DREAM	11	1.45661E-05	0.001746611	5.068467	11	219	0.005617978	2	13	14	
MSigDB Pathway	Reelin signaling pathway	12	2.08184E-05	0.002288285	2.664253	24	909	0.01225741	5	25	29	
MSigDB Pathway	Transcription Regulation by Methyltransferase of CARM1	13	3.36953E-05	0.003418777	5.096393	10	198	0.005107252	2	12	13	
MGI Expression: Detected	TS17_cranial nerve	1	3.63E-08	0.000199688	4.757476	19	403	0.009703779	2	5	6	
MGI Expression: Detected	TS18_head	2	4.72E-08	0.000129777	2.788363	37	1339	0.01889683	9	27	28	
MGI Expression: Detected	TS21_cerebral cortex intermediate zone	3	1.19E-07	0.000218794	4.204524	20	480	0.0102145	3	11	13	
MGI Expression: Detected	TS28_peduncular pontine nucleus	4	2.31E-07	0.000316738	7.762198	11	143	0.005617978	2	4	5	
MGI Expression: Detected	TS23_lower jaw molar epithelium	5	4.80E-07	0.000527829	3.563385	22	623	0.01123596	3	16	19	
MGI Expression: Detected	TS16_head	7	6.34E-07	0.000497417	3.388171	23	685	0.01174668	7	20	25	
MGI Expression: Detected	TS21_trigeminal V ganglion	8	6.86E-07	0.000471417	1.819237	77	4271	0.03932584	25	84	96	
MGI Expression: Detected	TS23_lower jaw molar mesenchyme	9	1.62592E-06	0.000992536	3.70128	19	518	0.009703779	2	16	17	
MGI Expression: Detected	TS17_spinal nerve	10	2.87761E-06	0.001580957	3.42063	20	590	0.0102145	3	12	14	
MGI Expression: Detected	TS13_hindgut diverticulum	11	2.98012E-06	0.001488436	2.095759	47	2263	0.02400409	16	50	52	
MGI Expression: Detected	TS23_lower jaw molar enamel organ	12	3.10269E-06	0.001420515	3.403325	20	593	0.0102145	2	15	17	
MGI Expression: Detected	TS23_telencephalon marginal layer	14	6.77398E-06	0.002658304	1.829872	62	3419	0.03166496	24	99	123	
MGI Expression: Detected	TS11_future brain	18	2.42451E-05	0.007400146	1.912959	48	2532	0.02451481	17	31	32	
MGI Expression: Detected	TS21_lower jaw molar epithelium	19	2.64825E-05	0.007657633	2.412844	28	1171	0.01430031	5	25	27	
MSigDB Perturbation	Genes down-regulated during prostate cancer progression in mice heterozygotic for both NKX3.1 and PTEN [GeneID=4824;5728].	1	1.94E-09	6.5143E-06	5.396181	20	374	0.0102145	4	15	20	
MSigDB Perturbation	Genes down-regulated in B lymphocytes at 6 h after exprosure to 10 Gy dose of ionizing radiation.	2	5.59E-09	9.38343E-06	2.718908	44	1633	0.02247191	15	84	114	
MSigDB Perturbation	Genes up-regulated in epidermis after to UVB irradiation.	3	6.65E-07	0.000744127	1.935396	65	3389	0.03319714	30	188	304	
MSigDB Perturbation	"Genes periodically expressed in synchronized HeLa cells (cervical carcinoma), with peak during the S phase of cell cycle."	4	9.19E-07	0.000770825	2.170077	48	2232	0.02451481	12	118	170	
MSigDB Perturbation	"Direct targets of FOXA2 [GeneID=3170] in liver, according to a ChIP-chip analysis."	5	2.38421E-06	0.00160028	1.716977	83	4878	0.04239019	38	258	412	
MSigDB Perturbation	Genes down-regulated in tumor compared to non-tumor liver samples from patients with hepatocellular carcinoma (HCC).	6	3.9303E-06	0.002198346	3.803649	17	451	0.008682329	4	27	46	
MSigDB Perturbation	Genes up-regulated in CD34+ [GeneID=947] cells by intermediate activity levels of STAT5A [GeneID=6776]; predominant long-term growth and self-renewal phenotype.	7	6.21355E-06	0.002978951	1.787645	67	3782	0.03421859	26	151	210	
MSigDB Perturbation	Genes up-regulated in hepatocellular carcinoma (HCC) induced by ciprofibrate [PubChem=2763].	8	8.30027E-06	0.003481963	2.8975	23	801	0.01174668	7	40	59	
