# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
VCE749	VAMP3 (-255003)
VCE7636	C8B (-310365), DAB1 (+147676)
VCE7637	C8B (-311752), DAB1 (+146289)
VCE7638|VCE7639	C8B (-314613), DAB1 (+143428)
VCE7640	C8B (-325659), DAB1 (+132382)
VCE7641	C8B (-328234), DAB1 (+129807)
VCE7689|VCE7690	C8B (-449471), DAB1 (+8570)
VCE7757|VCE7758	DAB1 (-176765)
VCE7821|VCE7822	DAB1 (-376525)
VCE7845	DAB1 (-412628)
VCE7864|VCE7865|VCE7866|VCE7867|VCE7868|VCE7869	DAB1 (-464038)
VCE8058	FGGY (-460330), JUN (-52538)
VCE8093	JUN (-295677), FGGY (-217191)
VCE8167|VCE8168	HOOK1 (-297791), FGGY (+220089)
VCE8300|VCE8301	C1orf87 (-218485)
VCE8333|VCE8334	C1orf87 (-388308)
VCE8349|VCE8350	C1orf87 (-491784)
VCE8383	NFIA (-384106)
VCE8509|VCE8510|VCE8511|VCE8512|VCE8513|VCE8514|VCE8515	NFIA (-2076)
VCE8786|VCE8787|VCE8788|VCE8789|VCE8790|VCE8791|VCE8792	TM2D1 (+272470), NFIA (+371091)
VCE9026|VCE9027	FOXD3 (-344410), ATG4C (+194514)
VCE9047|VCE9048|VCE9049	FOXD3 (-314956), ATG4C (+223968)
VCE10075|VCE10076|VCE10077	NEGR1 (+411925)
VCE10241|VCE10242	NEGR1 (-493123)
VCE10352|VCE10353|VCE10354|VCE10355	NONE
VCE10767|VCE10768	ST6GALNAC3 (+285962)
VCE11618	NONE
VCE11754|VCE11755|VCE11756	LPHN2 (-498021)
VCE11784	LPHN2 (-465646)
VCE12129	LPHN2 (+119702)
VCE12535|VCE12536|VCE12537|VCE12538	NONE
VCE12833|VCE12834	TTLL7 (+266013)
VCE12837|VCE12838	TTLL7 (+257394)
VCE12839	TTLL7 (+256944)
VCE12840|VCE12841	TTLL7 (+256618)
VCE12842|VCE12843|VCE12844	TTLL7 (+255382)
VCE12845	TTLL7 (+253137)
VCE12846	TTLL7 (+251552)
VCE12847|VCE12848	TTLL7 (+249450)
VCE12850	TTLL7 (+239803)
VCE12851|VCE12852	TTLL7 (+239458)
VCE12853	TTLL7 (+236361)
VCE12854	TTLL7 (+235420)
VCE12855	TTLL7 (+234880)
VCE12856|VCE12857|VCE12858|VCE12859|VCE12860	TTLL7 (+234394)
VCE12861	TTLL7 (+232913)
VCE12862|VCE12863	TTLL7 (+232630)
VCE12864|VCE12865	TTLL7 (+231851)
VCE12866	TTLL7 (+229880)
VCE12867	TTLL7 (+228995)
VCE12868	TTLL7 (+226414)
VCE12869|VCE12870	TTLL7 (+225953)
VCE13219	LMO4 (-163166), ENSG00000267561 (+172293)
VCE13367|VCE13368	LMO4 (+41514)
VCE13378|VCE13379|VCE13380|VCE13381|VCE13382	LMO4 (+73720)
VCE13559|VCE13560	LMO4 (+401321)
VCE13720	NONE
VCE13923|VCE13924	PKN2 (-392068)
VCE13941	PKN2 (-365460)
VCE14083|VCE14084|VCE14085|VCE14086	PKN2 (-78966)
VCE14113	GTF2B (-79250), CCBL2 (+22053)
VCE14193|VCE14194|VCE14195	ZNF326 (+92199)
VCE14256|VCE14257|VCE14258	ZNF326 (+245705), BARHL2 (+476415)
VCE14300|VCE14301	ZNF326 (+331559), BARHL2 (+390561)
VCE14473	BARHL2 (-3112)
VCE15601|VCE15602|VCE15603|VCE15604	PTBP2 (+83708)
VCE17155	VAV3 (+355119), NTNG1 (+469205)
VCE17312	GNAI3 (+16913), GNAT2 (+47533)
VCE17359	SLC6A17 (-16772), UBL4B (+21274)
VCE17519|VCE17520	DDX20 (+106464), KCND3 (+127386)
VCE17541	KCND3 (+30189), DDX20 (+203661)
VCE17620|VCE17621	KCND3 (-328276), CTTNBP2NL (-78750)
VCE17627	KCND3 (-366830), CTTNBP2NL (-40196)
VCE18105	VANGL1 (+1457), CASQ2 (+125371)
VCE18140|VCE18141	NHLH2 (-86301), SLC22A15 (-46280)
VCE18158	ATP1A1 (-262214), SLC22A15 (+135156)
VCE18261	CD101 (-85875), PTGFRN (+5828)
VCE18417|VCE18418	SPAG17 (-119711)
VCE18579|VCE18580	TBX15 (+40040)
VCE18598	TBX15 (-3364)
VCE20021|VCE20022|VCE20023|VCE20024	BCL9 (+12769), ACP6 (+116667)
VCE20025	BCL9 (+19834), ACP6 (+109602)
VCE20407|VCE20408	PLEKHO1 (-69157), VPS45 (+13644)
VCE20677	GATAD2B (-5886), DENND4B (+17835)
VCE20678	GATAD2B (-6281), DENND4B (+17440)
VCE20798|VCE20799	SLC50A1 (-6538), EFNA1 (+1852)
VCE20858	MEX3A (-20728), LMNA (-11981)
VCE20886	C1orf61 (-57736), MEF2D (+13700)
VCE21216|VCE21217	DCAF8 (+17104), PEA15 (+40010)
VCE22416|VCE22417	GORAB (-298820), METTL11B (+87308)
VCE22870	GPR52 (-20540), RABGAP1L (+268017)
VCE22952	TNN (+57343)
VCE23044	TNR (+220409), TNN (+455503)
VCE23048	TNR (+210089), TNN (+465823)
VCE23050|VCE23051	TNR (+202250), TNN (+473662)
VCE23053|VCE23054	TNR (+190312), TNN (+485600)
VCE23055	TNR (+189256), TNN (+486656)
VCE23056	TNR (+181246), TNN (+494666)
VCE23057|VCE23058	TNR (+177635), TNN (+498277)
VCE23281|VCE23282	ASTN1 (+259202), PAPPA2 (+442317)
VCE23285	ASTN1 (+248812), PAPPA2 (+452707)
VCE23368	FAM5B (+20551)
VCE23996	CACNA1E (-371060), MR1 (+78682)
VCE24543|VCE24544	NONE
VCE24655|VCE24656	NONE
VCE24997	RGS21 (-112620), RGS18 (+45915)
VCE25041	RGS1 (-58751), RGS21 (+199984)
VCE25143	NONE
VCE25292|VCE25293|VCE25294	KCNT2 (+476090)
VCE27675	SMYD2 (-156527), PROX1 (+136763)
VCE27676	SMYD2 (-156152), PROX1 (+137138)
VCE27677|VCE27678|VCE27679	SMYD2 (-144438), PROX1 (+148852)
VCE27680|VCE27681|VCE27682|VCE27683	SMYD2 (-138556), PROX1 (+154734)
VCE27685|VCE27686|VCE27687	SMYD2 (-126088), PROX1 (+167202)
VCE27718|VCE27719|VCE27720|VCE27721	SMYD2 (+36319), PTPN14 (+233671)
VCE27789	KCNK2 (-105805), CENPF (+374236)
VCE27869|VCE27870|VCE27871	KCTD3 (+139374)
VCE27937|VCE27938	KCTD3 (+337286)
VCE28073	USH2A (+3063)
VCE28100|VCE28101|VCE28102	USH2A (-109014), ESRRG (+191043)
VCE28191|VCE28192|VCE28193	USH2A (-276001), ESRRG (+24056)
VCE28256|VCE28257|VCE28258|VCE28259	ESRRG (-82816)
VCE28268|VCE28269|VCE28270	ESRRG (-94280)
VCE28677	RRP15 (-97301)
VCE28882|VCE28883	LYPLAL1 (-24670)
VCE28884	LYPLAL1 (-20060)
VCE28909|VCE28910|VCE28911	LYPLAL1 (+74301)
VCE28972|VCE28973|VCE28974	LYPLAL1 (+322289), SLC30A10 (+432469)
VCE31044	KIF26B (+372185)
VCE31099	SMYD3 (+399548)
VCE31605|VCE31606	NONE
VCE31608|VCE31609|VCE31610|VCE31611|VCE31612	NONE
VCE31614	NONE
VCE31615	NONE
VCE32141|VCE32142|VCE32143|VCE32144|VCE32145	GATA3 (+244776)
VCE32286	NONE
VCE32325|VCE32326|VCE32327|VCE32328	NONE
VCE32728|VCE32729|VCE32730	CELF2 (-110515)
VCE33134	PTER (-337874), FAM188A (-238590)
VCE33135|VCE33136|VCE33137|VCE33138|VCE33139	PTER (-331825), FAM188A (-244639)
VCE33679|VCE33680	SKIDA1 (+17873)
VCE33855	SPAG6 (+82478), PIP4K2A (+286607)
VCE33856	SPAG6 (+89223), PIP4K2A (+279862)
VCE33990|VCE33991	OTUD1 (+101587)
VCE34023|VCE34024|VCE34025|VCE34026	KIAA1217 (-327826), OTUD1 (+442069)
VCE34388	MKX (-313036), MPP7 (+221046)
VCE34408|VCE34409|VCE34410	MKX (-455853), MPP7 (+78229)
VCE34454|VCE34455|VCE34456	BAMBI (+3276)
VCE34514	LYZL1 (-316755), BAMBI (+294964)
VCE34526	LYZL1 (-247402), BAMBI (+364317)
VCE34551	LYZL1 (-88915)
VCE34704|VCE34705|VCE34706	ZEB1 (-245788), ZNF438 (-41447)
VCE36672|VCE36673|VCE36674|VCE36675	C10orf128 (-73413), DRGX (+130090)
VCE36721	SLC18A3 (-4235)
VCE36981|VCE36982|VCE36983	DKK1 (+82003), MBL2 (+375401)
VCE37176	MTRNR2L5 (+98404)
VCE37276	TFAM (-46646), UBE2D1 (+3401)
VCE37379	PHYHIPL (+145541), SLC16A9 (+387946)
VCE37468	CDK1 (-248505), ANK3 (-140219)
VCE37552|VCE37553	RHOBTB1 (-98406), TMEM26 (+410797)
VCE37705|VCE37706|VCE37707|VCE37708|VCE37709	ARID5B (-306521), TMEM26 (-141330)
VCE37841|VCE37842	TMEM26 (-386647), ARID5B (-61204)
VCE38064|VCE38065|VCE38066|VCE38067|VCE38068|VCE38069|VCE38070	ARID5B (+180530), RTKN2 (+186877)
VCE38241	NRBF2 (-305819), EGR2 (-11116)
VCE38411	REEP3 (+230711)
VCE38425	REEP3 (+337379)
VCE38687|VCE38688	LRRTM3 (-147693)
VCE38972|VCE38973	NEUROG3 (-4212)
VCE39079|VCE39080	UNC5B (-285237), PCBD1 (-38549)
VCE39497	ADK (+31480)
VCE39638|VCE39639	KAT6B (-223720), ADK (+451676)
VCE39681|VCE39682	KAT6B (-72638)
VCE39893|VCE39894|VCE39895|VCE39896|VCE39897|VCE39898|VCE39899	C10orf11 (-274382), ZNF503 (-106473)
VCE39943	ZNF503 (-212009), C10orf11 (-168846)
VCE40095|VCE40096|VCE40097|VCE40098	C10orf11 (+29712)
VCE40168|VCE40169	C10orf11 (+124622)
VCE40194	C10orf11 (+163753)
VCE40224|VCE40225	C10orf11 (+217121)
VCE40471|VCE40472|VCE40473	NONE
VCE40481	NONE
VCE40653	NONE
VCE40654	NONE
VCE40708|VCE40709|VCE40710	NONE
VCE40783	KCNMA1 (+253191)
VCE40917	RPS24 (+185262)
VCE41002	ZMIZ1 (-494488)
VCE41122	ZMIZ1 (-16775)
VCE41170|VCE41171	PPIF (-102388), ZMIZ1 (+176054)
VCE41541	GHITM (-230247)
VCE41543	GHITM (-197702)
VCE41650	NONE
VCE43165|VCE43166	R3HCC1L (-91545), CRTAC1 (-12298)
VCE43185	CRTAC1 (-62450), R3HCC1L (-41393)
VCE43346|VCE43347	HPS1 (-384614), HPSE2 (+404322)
VCE43348|VCE43349|VCE43350|VCE43351|VCE43352|VCE43353	HPS1 (-385285), HPSE2 (+403651)
VCE43355|VCE43356	HPS1 (-386068), HPSE2 (+402868)
VCE43627	PAX2 (-57792), HIF1AN (+152060)
VCE43879|VCE43880	BTRC (+72329), POLL (+161878)
VCE43884	BTRC (+88094), POLL (+146113)
VCE44230|VCE44231	TRIM8 (-79750), SUFU (+60759)
VCE44499	SORCS3 (+122232)
VCE44501	SORCS3 (+133853)
VCE44593	NONE
VCE44625	NONE
VCE44686	NONE
VCE44717	NONE
VCE44807|VCE44808	SORCS1 (+379828)
VCE44830	SORCS1 (+242471)
VCE45108|VCE45109	MXI1 (-38901), ADD3 (+160742)
VCE45247	ADRA2A (+171167)
VCE45391	TCF7L2 (-419397), VTI1A (+83596)
VCE45439|VCE45440	TCF7L2 (-351687), VTI1A (+151306)
VCE45579	TCF7L2 (-101990), VTI1A (+401003)
VCE45653	TCF7L2 (+51075)
VCE45654	TCF7L2 (+57232)
VCE46209	GFRA1 (+147488)
VCE46236|VCE46237|VCE46238	GFRA1 (+102099)
VCE46326	PNLIPRP3 (-110215), GFRA1 (-44185)
VCE46427|VCE46428|VCE46429|VCE46430|VCE46431|VCE46432	KIAA1598 (+43653), ENO4 (+112412)
VCE46465|VCE46466	VAX1 (-491)
VCE46472	KCNK18 (-51067), VAX1 (-8366)
VCE46499|VCE46500	PDZD8 (-127942), EMX2 (-39035)
VCE46638|VCE46639	RAB11FIP2 (+142743), EMX2 (+361416)
VCE46852|VCE46853	RAB11FIP2 (-426240), PRLHR (+122806)
VCE47765|VCE47766	NPS (-41404)
VCE47910|VCE47911	NONE
VCE48002	NONE
VCE48262|VCE48263|VCE48264	MGMT (+180999), EBF3 (+315658)
VCE48615|VCE48616|VCE48617	NKX6-2 (+85004), INPP5A (+163228)
VCE49244	DCHS1 (-2289)
VCE49391|VCE49392	LMO1 (-6050), STK33 (+205916)
VCE49400|VCE49401	LMO1 (-26402), STK33 (+185564)
VCE49439	LMO1 (-138985), STK33 (+72981)
VCE49491	STK33 (-186558), TRIM66 (+9484)
VCE49833	CSNK2A3 (-210455), GALNT18 (+58193)
VCE50068	ARNTL (-117318), TEAD1 (+415439)
VCE50169|VCE50170	RRAS2 (+304827), FAR1 (+385686)
VCE50412|VCE50413|VCE50414	INSC (+322297)
VCE50417|VCE50418|VCE50419	INSC (+334716)
VCE50528|VCE50529|VCE50530|VCE50531|VCE50532|VCE50533	NONE
VCE50615	SOX6 (+492923)
VCE50795|VCE50796	SOX6 (+178733)
VCE50797	SOX6 (+176395)
VCE50952	C11orf58 (+76822), PLEKHA7 (+199189)
VCE51017	KCNJ11 (-46071), ABCC8 (+42115)
VCE51362|VCE51363|VCE51364|VCE51365	HTATIP2 (-186391), DBX1 (-17028)
VCE52126|VCE52127	NONE
VCE52180|VCE52181	NONE
VCE52212|VCE52213|VCE52214	NONE
VCE52313	ARL14EP (-7402), FSHB (+84633)
VCE53565	NONE
VCE53567|VCE53568|VCE53569	NONE
VCE53623|VCE53624	NONE
VCE53872	NONE
VCE53878|VCE53879|VCE53880	NONE
VCE53884	NONE
VCE54041|VCE54042	NONE
VCE54047|VCE54048	NONE
VCE54067|VCE54068	NONE
VCE54295|VCE54296	CD82 (-242708), ALX4 (-12717)
VCE54396	SYT13 (-300427), CHST1 (+78875)
VCE54685|VCE54686	C11orf49 (+46876), ARFGAP2 (+193428)
VCE54756	SLC39A13 (-575)
VCE55430	MARK2 (-117123), RTN3 (+40322)
VCE55513	NRXN2 (+51793), SLC22A12 (+80585)
VCE56341|VCE56342	TPBGL (-26252), SLCO2B1 (+63666)
VCE56643	USP35 (+80211), GAB2 (+148688)
VCE56748	NARS2 (-459632), TENM4 (+406154)
VCE56847|VCE56848	TENM4 (-88787)
VCE56902	TENM4 (-489322)
VCE57028	NONE
VCE57299|VCE57300	RAB30 (+1296), C11orf82 (+168843)
VCE57408|VCE57409	NONE
VCE57835	GRM5 (+161852)
VCE59288	PDGFD (-36902)
VCE59630|VCE59631	C11orf87 (-259634), DDX10 (+497460)
VCE59643|VCE59644	C11orf87 (-72790)
VCE60097|VCE60098|VCE60099	NCAM1 (-20150)
VCE60151	ANKK1 (-244426), NCAM1 (+181929)
VCE60596	CADM1 (+371790), NXPE2 (+454235)
VCE60660|VCE60661|VCE60662	CADM1 (+279013)
VCE61038	CADM1 (-172002)
VCE61291	NONE
VCE61330|VCE61331	BUD13 (+403256)
VCE61425|VCE61426	BUD13 (+170831)
VCE62137|VCE62138|VCE62139	BLID (+274320), SORL1 (+389691)
VCE62625	FEZ1 (+165436), PKNOX2 (+166168)
VCE62650|VCE62651	FEZ1 (+106582), PKNOX2 (+225022)
VCE62900|VCE62901	KIRREL3 (+138444), ST3GAL4 (+456534)
VCE62924|VCE62925	KIRREL3 (+103016), ST3GAL4 (+491962)
VCE63188	ETS1 (+340918)
VCE63193|VCE63194	ETS1 (+328484)
VCE63242	ETS1 (+69608)
VCE63555	SNX19 (-184811)
VCE63587|VCE63588	SNX19 (-304837)
VCE63709|VCE63710	NTM (-311130)
VCE64127	OPCML (-190225)
VCE64600|VCE64601|VCE64602|VCE64603	RAD52 (+68456), WNK1 (+128343)
VCE64763	FKBP4 (-160813)
VCE65026|VCE65027	NTF3 (-172606), KCNA5 (+215588)
VCE65040|VCE65041	NTF3 (-5080), KCNA5 (+383114)
VCE65045|VCE65046	NTF3 (+8849)
VCE65049|VCE65050|VCE65051	NTF3 (+29098), ANO2 (+485021)
VCE65727|VCE65728	EMP1 (+272535)
VCE66046	SLC15A5 (+140627), DERA (+225886)
VCE66062	SLC15A5 (+101956), DERA (+264557)
VCE66093|VCE66094|VCE66095	SLC15A5 (+28543), DERA (+337970)
VCE66721	AEBP2 (-207005), PLEKHA5 (+102901)
VCE66829	PDE3A (-271154)
VCE66909	SLCO1B3 (-111431), SLCO1C1 (+3830)
VCE67117|VCE67118|VCE67119|VCE67120|VCE67121	ETNK1 (+368937)
VCE67279	SOX5 (+422638)
VCE67294|VCE67295|VCE67296	SOX5 (+387984)
VCE67621|VCE67622	SOX5 (-378712)
VCE68000|VCE68001	REP15 (-136719), PPFIBP1 (+35570)
VCE69109	PRICKLE1 (-34557)
VCE69692|VCE69693	COL2A1 (-45712), SENP1 (+55638)
VCE70477|VCE70478|VCE70479	HOXC13 (-121901), CALCOCO1 (-89410)
VCE70508|VCE70509	CALCOCO1 (-122809), HOXC13 (-88502)
VCE70526	CALCOCO1 (-169527), HOXC13 (-41784)
VCE70564	HOXC9 (-8029), HOXC10 (+6904)
VCE70706	COPZ1 (+5211), GPR84 (+34149)
VCE71112|VCE71113	STAC3 (-10726), R3HDM2 (+169086)
VCE71318|VCE71319|VCE71320|VCE71321	XRCC6BP1 (+431233)
VCE71519	SLC16A7 (+19399)
VCE72090|VCE72091	HMGA2 (-439071), MSRB3 (+106417)
VCE72182|VCE72183|VCE72184|VCE72185	HMGA2 (-208734), MSRB3 (+336754)
VCE72601	IL22 (-24333), MDM1 (+54392)
VCE72994|VCE72995	TRHDE (-235110), TPH2 (+98727)
VCE73131|VCE73132	TRHDE (+271500)
VCE73755	NAV3 (+450089)
VCE73863|VCE73864	SYT1 (+46565)
VCE73921	PAWR (+402273), SYT1 (+424155)
VCE73949	PAWR (+325342)
VCE74098|VCE74099|VCE74100	MYF5 (-4804)
VCE74270|VCE74271	TMTC2 (+8250)
VCE74318|VCE74319	TMTC2 (+197201)
VCE74632|VCE74633	MGAT4C (+107437), NTS (+274533)
VCE74745|VCE74746	NONE
VCE74771|VCE74772	CEP290 (+489893)
VCE75052	ATP2B1 (-175222)
VCE75587	PLXNC1 (+87349), CCDC41 (+223880)
VCE75965|VCE75966|VCE75967|VCE75968|VCE75969	NEDD1 (+205057)
VCE76005|VCE76006	NEDD1 (+303858)
VCE76154|VCE76155|VCE76156|VCE76157|VCE76158|VCE76159	NONE
VCE76372	TMPO (-286623)
VCE76890	IGF1 (-68235), PAH (+368805)
VCE77144|VCE77145	CHST11 (+205898), SLC41A2 (+265784)
VCE78113|VCE78114	TBX5 (-49574), TBX3 (+225574)
VCE78230|VCE78231	NONE
VCE78245|VCE78246|VCE78247	NONE
VCE78298	NONE
VCE78415	MAP1LC3B2 (-239049), MED13L (-42994)
VCE78464|VCE78465	RNFT2 (+70453), HRK (+72697)
VCE78672	SRRM4 (-234761), SUDS3 (+370354)
VCE78810	CIT (-97786), CCDC64 (-14792)
VCE80563	SHISA2 (+105179)
VCE81404|VCE81405	MAB21L1 (-95755)
VCE81734	COG6 (+131621)
VCE81814	FOXO1 (+220695)
VCE82023	AKAP11 (-124514), DGKH (+98886)
VCE82031|VCE82032	AKAP11 (-5492), DGKH (+217908)
VCE82066	DNAJC15 (-445730), TNFSF11 (+3320)
VCE82161|VCE82162	DNAJC15 (+190105)
VCE82368|VCE82369|VCE82370	TSC22D1 (+37380), SERP2 (+165343)
VCE82417|VCE82418	TSC22D1 (-328550), NUFIP1 (+84367)
VCE83136|VCE83137	OLFM4 (-143903), PCDH8 (-36216)
VCE83199|VCE83200|VCE83201	PCDH8 (-143438), OLFM4 (-36681)
VCE83516|VCE83517	NONE
VCE83644	NONE
VCE83998|VCE83999	PCDH17 (+81998)
VCE84350|VCE84351|VCE84352	NONE
VCE84356|VCE84357	NONE
VCE84513	NONE
VCE84577	NONE
VCE84603|VCE84604|VCE84605	DIAPH3 (+496065)
VCE84648|VCE84649	DIAPH3 (+395107)
VCE84762|VCE84763|VCE84764|VCE84765	TDRD3 (-166396), DIAPH3 (-66910)
VCE84803|VCE84804|VCE84805|VCE84806	DIAPH3 (-161362), TDRD3 (-71944)
VCE84849	TDRD3 (+220045)
VCE84865	TDRD3 (+362398)
VCE85481|VCE85482|VCE85483	NONE
VCE85556	NONE
VCE85565|VCE85566|VCE85567	NONE
VCE85684	PCDH9 (+334388)
VCE85716|VCE85717|VCE85718	PCDH9 (+235224)
VCE85844	PCDH9 (-88762)
VCE85906|VCE85907	NONE
VCE85975|VCE85976|VCE85977|VCE85978	NONE
VCE86254	NONE
VCE86338|VCE86339	NONE
VCE86373|VCE86374|VCE86375|VCE86376	NONE
VCE86390|VCE86391|VCE86392	NONE
VCE86543|VCE86544	DACH1 (+245626)
VCE86741|VCE86742	DACH1 (-58161)
VCE86769|VCE86770|VCE86771	DACH1 (-137296)
VCE86792|VCE86793|VCE86794|VCE86795|VCE86796	DACH1 (-205121)
VCE86838|VCE86839	DACH1 (-297704)
VCE86896|VCE86897	DACH1 (-431783), MZT1 (+428712)
VCE86911|VCE86912|VCE86913	DACH1 (-486408), MZT1 (+374087)
VCE86914|VCE86915	DACH1 (-497922), MZT1 (+362573)
VCE86938	MZT1 (+307677)
VCE86974|VCE86975|VCE86976|VCE86977|VCE86978|VCE86979|VCE86980	MZT1 (+222628)
VCE86981|VCE86982|VCE86983	MZT1 (+219907)
VCE87089|VCE87090	MZT1 (+66264)
VCE87120	KLF5 (-98070), PIBF1 (+178663)
VCE87225|VCE87226	KLF5 (+276635)
VCE87239|VCE87240	KLF5 (+314792)
VCE87666	KCTD12 (+426695)
VCE87709	IRG1 (-54963), KCTD12 (-7144)
VCE87786	EDNRB (+190931), SCEL (+193077)
VCE87976|VCE87977	POU4F1 (+61810)
VCE87995|VCE87996|VCE87997|VCE87998	POU4F1 (+18293)
VCE88344	NDFIP2 (+318535)
VCE88858|VCE88859	SLITRK1 (-292193)
VCE88888	NONE
VCE88918	NONE
VCE89109	SLITRK5 (+206290)
VCE89299	NONE
VCE89502	NONE
VCE89568	NONE
VCE89714	GPC6 (+223397)
VCE89856|VCE89857	DCT (+428476)
VCE90151	DZIP1 (+28332), CLDN10 (+62206)
VCE90400	OXGR1 (+227818)
VCE90935|VCE90936	GGACT (+77071), PCCA (+417843)
VCE91445|VCE91446|VCE91447|VCE91448|VCE91449|VCE91450|VCE91451	DAOA (-102320)
VCE91557	NONE
VCE91558|VCE91559	NONE
VCE91560	NONE
VCE91561	EFNB2 (+491847)
VCE91565|VCE91566|VCE91567	EFNB2 (+482998)
VCE91616	EFNB2 (+258229)
VCE91642|VCE91643|VCE91644	EFNB2 (+129573)
VCE91787	FAM155A (+302895)
VCE92802|VCE92803	TMEM253 (-3919), ZNF219 (+3622)
VCE93023	C14orf93 (-11443), PSMB5 (+13551)
VCE93313|VCE93314|VCE93315|VCE93316|VCE93317|VCE93318|VCE93319	STXBP6 (-471752)
VCE93383	NONE
VCE93443|VCE93444|VCE93445|VCE93446	NONE
VCE93555|VCE93556	NOVA1 (+400537)
VCE93866|VCE93867|VCE93868|VCE93869|VCE93870	NONE
VCE94198	FOXG1 (+276879)
