# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
AAGAB	VCE113360 (-57129)
AGA	VCE257121|VCE257122 (-173010)
AGAP1	VCE195121|VCE195122|VCE195123 (+464682)
AGBL4	VCE6357 (+355392)
AGBL5	VCE163213 (-431)
AGMO	VCE310988|VCE310989 (+71507)
AGPAT9	VCE246550 (+243571)
AHDC1	VCE2862 (+13404)
AIG1	VCE303921 (+105123), VCE303945|VCE303946 (+210554)
AIPL1	VCE132309 (+69573)
AKAP11	VCE82023 (-124514), VCE82031|VCE82032 (-5492)
AKAP12	VCE304733 (+87243)
AKAP6	VCE95110|VCE95111|VCE95112|VCE95113 (+390552)
ALK	VCE163703 (-41322), VCE163670|VCE163671 (+74048), VCE163640|VCE163641|VCE163642|VCE163643 (+159406), VCE163630 (+192052)
ALMS1	VCE171389 (-46434)
ALX4	VCE54295|VCE54296 (-12717)
AMBP	VCE359996 (+162266), VCE359994 (+165892)
AMPH	VCE314826|VCE314827 (-241469)
ANGPT1	VCE342087 (+316753)
ANGPTL2	VCE362800|VCE362801 (+22724)
ANGPTL7	VCE1284|VCE1285 (-30434), VCE1286 (-20254)
ANK3	VCE37468 (-140219)
ANKK1	VCE60151 (-244426)
ANKRD32	VCE270941 (-312939), VCE271076|VCE271077|VCE271078 (+121799)
ANO2	VCE65049|VCE65050|VCE65051 (+485021)
ANP32A	VCE113702 (+44788)
ANTXR2	VCE245988|VCE245989|VCE245990 (+113985)
ANXA13	VCE344232 (+66347)
ANXA2	VCE112161 (+296331)
ANXA3	VCE245689 (-319449)
AOAH	VCE314699 (-237459)
AP3B1	VCE267498 (+321594)
AP5M1	VCE99222|VCE99223|VCE99224|VCE99225|VCE99226 (-365311), VCE99278 (-259170), VCE99314|VCE99315|VCE99316 (-178938), VCE99326 (-120440)
APBB2	VCE242416 (+11503)
APH1B	VCE112849 (-32937)
APP	VCE204946 (-192702)
AQR	VCE107806 (+68817)
AR	VCE375481 (+63039)
ARAP3	VCE277722|VCE277723 (-81559), VCE277684|VCE277685|VCE277686|VCE277687|VCE277688 (-13833)
AREG	VCE245398 (-26583)
ARFGAP2	VCE54685|VCE54686 (+193428)
ARHGAP15	VCE178690|VCE178691 (-15656), VCE178793|VCE178794|VCE178795 (+163383), VCE178858|VCE178859 (+255140), VCE179014|VCE179015 (+465135)
ARHGAP18	VCE302015 (-20459), VCE302008 (+3936), VCE301993 (+125893)
ARHGAP23	VCE135977 (-71160)
ARHGEF10L	VCE1725 (+172659)
ARID5B	VCE37705|VCE37706|VCE37707|VCE37708|VCE37709 (-306521), VCE37841|VCE37842 (-61204), VCE38064|VCE38065|VCE38066|VCE38067|VCE38068|VCE38069|VCE38070 (+180530)
ARL14EP	VCE52313 (-7402)
ARL4A	VCE310521 (+84174)
ARMC1	VCE335791|VCE335792 (+141395), VCE335761 (+217829), VCE335660|VCE335661 (+467781), VCE335659 (+468745), VCE335648|VCE335649 (+488760)
ARNTL	VCE50068 (-117318)
ARPP21	VCE214855 (-277774), VCE214873|VCE214874|VCE214875 (-37515), VCE214877|VCE214878|VCE214879 (-3821), VCE214881 (+14366), VCE214896|VCE214897|VCE214898|VCE214899 (+145161)
ARSB	VCE267670 (+77422)
ARX	VCE368632|VCE368633|VCE368634 (+139003)
ASB9	VCE366317|VCE366318 (+99994)
ASCC3	VCE298004|VCE298005 (+176229)
ASIC2	VCE135013|VCE135014 (+26233), VCE134991 (+157195), VCE134990 (+168990)
ASPRV1	VCE170887 (-73681)
ASTN1	VCE23285 (+248812), VCE23281|VCE23282 (+259202)
ATAD2B	VCE162855|VCE162856 (+344820), VCE162848 (+372781)
ATG4C	VCE9026|VCE9027 (+194514), VCE9047|VCE9048|VCE9049 (+223968)
ATP10B	VCE280548|VCE280549 (-179392), VCE280509|VCE280510 (+301020)
ATP1A1	VCE18158 (-262214)
ATP2B1	VCE75052 (-175222)
ATP5G3	VCE186068|VCE186069|VCE186070 (-421626), VCE185969 (-191201), VCE185968 (-190929), VCE185962|VCE185963|VCE185964 (-186471)
ATP6AP2	VCE371852 (-412067)
ATP8A1	VCE242700 (+186803), VCE242698|VCE242699 (+198097), VCE242697 (+200239), VCE242694|VCE242695|VCE242696 (+204023), VCE242693 (+204887), VCE242692 (+205310), VCE242690|VCE242691 (+214287)
ATXN1	VCE286854|VCE286855 (+264295)
B3GAT2	VCE293368|VCE293369 (-204920), VCE293352|VCE293353 (-114347)
BACH2	VCE295548 (-124544), VCE295519|VCE295520 (-31329), VCE295448|VCE295449 (+188622)
BAI2	VCE3203|VCE3204 (-7001)
BAMBI	VCE34454|VCE34455|VCE34456 (+3276), VCE34514 (+294964), VCE34526 (+364317)
BARD1	VCE192647 (+270719), VCE192643 (+294824)
BARHL2	VCE14473 (-3112), VCE14300|VCE14301 (+390561), VCE14256|VCE14257|VCE14258 (+476415)
BARX1	VCE357298|VCE357299 (+43456), VCE357293 (+59347)
BATF	VCE101911 (-62890)
BBS9	VCE314271 (+254529)
BBX	VCE225040|VCE225041|VCE225042 (+358634), VCE225043|VCE225044 (+366774)
BCAP29	VCE322921 (+19935)
BCAS3	VCE139416|VCE139417 (+332030)
BCAS4	VCE201416|VCE201417 (+134686)
BCL11A	VCE168765|VCE168766 (-80292), VCE168718|VCE168719|VCE168720|VCE168721|VCE168722|VCE168723 (-17995), VCE168575|VCE168576|VCE168577 (+89305), VCE168564|VCE168565|VCE168566 (+100410), VCE168559|VCE168560 (+113471), VCE168544 (+142310), VCE168512|VCE168513|VCE168514 (+216594), VCE168496|VCE168497|VCE168498 (+236814), VCE168472|VCE168473|VCE168474 (+281746), VCE168448 (+338755), VCE168390|VCE168391|VCE168392|VCE168393 (+484230)
BCL9	VCE20021|VCE20022|VCE20023|VCE20024 (+12769), VCE20025 (+19834)
BCOR	VCE371852 (-71437)
BEND5	VCE6252|VCE6253 (-275269), VCE6179|VCE6180|VCE6181|VCE6182 (-64907), VCE6145|VCE6146 (+46123), VCE6138 (+81477), VCE6131 (+110854), VCE6093 (+239869)
BLCAP	VCE199599 (-103027), VCE199594 (-87800)
BLID	VCE62137|VCE62138|VCE62139 (+274320)
BMP2	VCE195987 (-209257), VCE196194|VCE196195 (+421430)
BMP4	VCE98788|VCE98789|VCE98790 (-376962), VCE98643|VCE98644 (-22934), VCE98561|VCE98562|VCE98563 (+191681)
BMPER	VCE314350|VCE314351 (-233174)
BMPR1B	VCE247688|VCE247689|VCE247690 (+150705)
BNC2	VCE348905|VCE348906 (+155888), VCE348743|VCE348744|VCE348745|VCE348746 (+421290), VCE348730 (+440321), VCE348726 (+442610)
BNIP2	VCE112023|VCE112024|VCE112025 (-88616)
BOD1L1	VCE238849|VCE238850 (-101000)
BPIFB6	VCE199098 (-2328)
BRIP1	VCE139710|VCE139711 (+244442)
BRMS1L	VCE96229 (+242842), VCE96245 (+286516)
BTBD9	VCE289574|VCE289575 (+377272)
BTRC	VCE43879|VCE43880 (+72329), VCE43884 (+88094)
BUD13	VCE61425|VCE61426 (+170831), VCE61330|VCE61331 (+403256)
C10orf11	VCE39893|VCE39894|VCE39895|VCE39896|VCE39897|VCE39898|VCE39899 (-274382), VCE39943 (-168846), VCE40095|VCE40096|VCE40097|VCE40098 (+29712), VCE40168|VCE40169 (+124622), VCE40194 (+163753), VCE40224|VCE40225 (+217121)
C10orf128	VCE36672|VCE36673|VCE36674|VCE36675 (-73413)
C11orf49	VCE54685|VCE54686 (+46876)
C11orf58	VCE50952 (+76822)
C11orf82	VCE57299|VCE57300 (+168843)
C11orf87	VCE59630|VCE59631 (-259634), VCE59643|VCE59644 (-72790)
C14orf132	VCE104523 (-242433)
C14orf93	VCE93023 (-11443)
C15orf61	VCE113360 (-209203)
C17orf67	VCE138669 (+134288), VCE138638 (+214235)
C17orf78	VCE135633|VCE135634 (-402623), VCE135772|VCE135773|VCE135774 (-173654)
C1D	VCE170701 (+116096), VCE170619|VCE170620|VCE170621 (+334013)
C1QL2	VCE176009|VCE176010 (+15971), VCE176008 (+28711)
C1QTNF7	VCE238992 (-192671)
C1orf185	VCE6717|VCE6718 (-124709)
C1orf61	VCE20886 (-57736)
C1orf87	VCE8349|VCE8350 (-491784), VCE8333|VCE8334 (-388308), VCE8300|VCE8301 (-218485)
C1orf94	VCE3574 (+320361)
C2CD4B	VCE112802 (-309674)
C2orf71	VCE163510|VCE163511 (-287073)
C3orf20	VCE212069 (+138372)
C3orf35	VCE215034|VCE215035|VCE215036 (-44655)
C5orf50	VCE283243|VCE283244|VCE283245|VCE283246|VCE283247|VCE283248 (-311398)
C5orf63	VCE275689|VCE275690|VCE275691 (-167265)
C5orf64	VCE265132|VCE265133|VCE265134 (+45282), VCE265142|VCE265143 (+64257), VCE265149 (+98355), VCE265249|VCE265250|VCE265251 (+306363)
C6orf203	VCE299126|VCE299127 (+332619)
C6orf70	VCE306172 (+443965)
C7orf10	VCE315205|VCE315206 (+407636)
C7orf72	VCE316179 (+104172)
C8A	VCE7536 (+83497)
C8B	VCE7689|VCE7690 (-449471), VCE7641 (-328234), VCE7640 (-325659), VCE7638|VCE7639 (-314613), VCE7637 (-311752), VCE7636 (-310365), VCE7634|VCE7635 (-309314), VCE7633 (-308125), VCE7629|VCE7630 (-299406), VCE7628 (-293012), VCE7627 (-292639), VCE7624|VCE7625|VCE7626 (-290008), VCE7623 (-287962), VCE7536 (+27712)
C8orf37	VCE340312|VCE340313 (-216686)
C8orf4	VCE333252 (+264739), VCE333253 (+265572)
CA10	VCE137900 (+359880)
CA11	VCE158387 (+1102)
CAAP1	VCE350881|VCE350882 (+453455)
CABLES1	VCE144911 (-48581)
CACNA1E	VCE23996 (-371060)
CACNA1G	VCE137734 (+913), VCE137753 (+52213), VCE137756 (+66400)
CACNA2D2	VCE215907|VCE215908|VCE215909|VCE215910 (+132709)
CACNG1	VCE140377 (-65806)
CACNG4	VCE140377 (+13874)
CACNG5	VCE140358 (-294935)
CADM1	VCE61038 (-172002), VCE60660|VCE60661|VCE60662 (+279013), VCE60596 (+371790)
CADM2	VCE222775 (-140224)
CADPS	VCE218329 (-158915), VCE218221|VCE218222 (+372877), VCE218203 (+394662), VCE218129|VCE218130 (+470011)
CALCOCO1	VCE70526 (-169527), VCE70508|VCE70509 (-122809), VCE70477|VCE70478|VCE70479 (-89410)
CAMKMT	VCE165483|VCE165484 (+402109)
CAPN12	VCE157828 (+60698)
CAPN13	VCE163840|VCE163841|VCE163842 (-195657), VCE163834 (-153753)
CAPN6	VCE382593 (+77466)
CASD1	VCE321140|VCE321141|VCE321142 (-91672)
CASQ2	VCE18105 (+125371)
CASZ1	VCE1238|VCE1239|VCE1240|VCE1241 (-68625), VCE1138 (+89298), VCE1029 (+281358)
CBLN1	VCE123563 (+383749)
CBX4	VCE141594 (-111476)
CCBL2	VCE14113 (+22053)
CCDC167	VCE289451|VCE289452 (-192765), VCE289427 (-37019)
CCDC41	VCE75587 (+223880)
CCDC64	VCE78810 (-14792)
CCL2	VCE135116 (-362228), VCE135121|VCE135122 (-345945), VCE135153 (-177701)
CCNH	VCE268621|VCE268622|VCE268623 (-128131), VCE268597 (-23376)
CCRN4L	VCE252933 (-225510)
CD101	VCE18261 (-85875)
CD180	VCE265885|VCE265886|VCE265887|VCE265888 (+354020), VCE265865|VCE265866|VCE265867 (+400815), VCE265859 (+403719), VCE265845 (+476123)
CD40	VCE201044 (+110670), VCE201050|VCE201051 (+125142), VCE201052|VCE201053|VCE201054|VCE201055 (+128042)
CD47	VCE225087 (+48814), VCE225043|VCE225044 (+201264), VCE225040|VCE225041|VCE225042 (+209404)
CD82	VCE54295|VCE54296 (-242708)
CD83	VCE286493|VCE286494 (-126802)
CDC42EP3	VCE164423 (+101096)
CDC42EP4	VCE141233 (-91369)
CDCA2	VCE331286|VCE331287 (+429411)
CDCA7	VCE185438|VCE185439 (-218114)
CDCA7L	VCE312261 (+62773), VCE312260 (+64796), VCE312258|VCE312259 (+77508), VCE312257 (+77785), VCE312256 (+78617), VCE312255 (+92152)
CDH10	VCE261193 (-443666), VCE261124|VCE261125|VCE261126 (+19898)
CDH11	VCE127479|VCE127480 (-483861), VCE127417|VCE127418 (-264796), VCE127351 (-31173), VCE127299 (+206223), VCE127237|VCE127238 (+382034)
CDH12	VCE260914 (+454080)
CDH13	VCE130474 (-117205), VCE130580|VCE130581|VCE130582 (+425209)
CDH20	VCE151922|VCE151923 (-314403), VCE152039|VCE152040 (+125315)
CDH22	VCE201052|VCE201053|VCE201054|VCE201055 (+5381), VCE201050|VCE201051 (+8281), VCE201044 (+22753)
CDH5	VCE127605|VCE127606 (-303515), VCE127616|VCE127617 (-252349), VCE127624|VCE127625 (-219531)
CDH6	VCE261798 (-168893), VCE261953|VCE261954 (+87860)
CDH8	VCE126791|VCE126792|VCE126793 (-311478)
CDK1	VCE37468 (-248505)
CDK5RAP2	VCE361248|VCE361249 (+434416)
CDKAL1	VCE287560|VCE287561 (+32077)
CDKN2C	VCE6717|VCE6718 (+16780)
CDKN3	VCE98643|VCE98644 (-417210), VCE98788|VCE98789|VCE98790 (-63182)
CEBPG	VCE157336|VCE157337 (+60181)
CELF2	VCE32728|VCE32729|VCE32730 (-110515)
CELF4	VCE147468|VCE147469|VCE147470 (-499178), VCE147419|VCE147420 (-402922), VCE147294|VCE147295|VCE147296|VCE147297 (-49449), VCE147287|VCE147288 (-41358), VCE147275 (-9679), VCE147235 (+41493), VCE147174 (+165196)
CENPF	VCE27789 (+374236)
CENPW	VCE301375 (-66654)
CEP290	VCE74771|VCE74772 (+489893)
CEP41	VCE326179|VCE326180 (+31670)
CEP44	VCE256882|VCE256883 (-110465)
CERKL	VCE187490|VCE187491|VCE187492|VCE187493 (+41613)
CETN3	VCE269605 (+314415), VCE269560|VCE269561|VCE269562 (+463023), VCE269556 (+472430)
CHD6	VCE200485 (-481870), VCE200391 (-37806), VCE200370 (+224572)
CHD7	VCE334851 (+169313)
CHD9	VCE124695|VCE124696 (-305897), VCE124717|VCE124718|VCE124719|VCE124720 (-275561), VCE124825|VCE124826 (+31021)
CHL1	VCE210760|VCE210761 (+325991)
CHRDL1	VCE382576|VCE382577 (-321105)
CHRM5	VCE107635 (-321347)
CHST1	VCE54396 (+78875)
CHST11	VCE77144|VCE77145 (+205898)
CHST8	VCE157387|VCE157388 (-5388)
CIT	VCE78810 (-97786)
CITED2	VCE303267|VCE303268 (-171738), VCE303244|VCE303245|VCE303246 (-100335), VCE303203|VCE303204 (-25764)
CLDN1	VCE236698 (+63641)
CLDN10	VCE90151 (+62206)
CLDN18	VCE229277|VCE229278|VCE229279 (-201862), VCE229319|VCE229320|VCE229321|VCE229322 (-89382)
CLEC14A	VCE96961|VCE96962 (-412970), VCE96952 (-257063)
CLEC3A	VCE129576 (-82687)
CLIC5	VCE290849 (+187422), VCE290825 (+234378)
CLNK	VCE238507 (-412831)
CLSPN	VCE3807 (+40449)
CLVS1	VCE334851 (-439864)
CMC1	VCE213928 (-355661)
CNR1	VCE295258 (-462733), VCE295215|VCE295216 (-229938)
CNTFR	VCE351819 (+15663), VCE351799|VCE351800 (+34545)
CNTNAP5	VCE176442 (+242479)
COG6	VCE81734 (+131621)
COL12A1	VCE293755 (+39054)
COL1A2	VCE321140|VCE321141|VCE321142 (+23565)
COL2A1	VCE69692|VCE69693 (-45712)
COL8A1	VCE224172 (+7705), VCE224178|VCE224179 (+18271)
COLEC10	VCE343839 (+76999), VCE343842|VCE343843 (+124751)
COPRS	VCE134825 (+289907)
COPZ1	VCE70706 (+5211)
CORO2B	VCE113702 (+196873)
COX10	VCE133021|VCE133022|VCE133023 (-426955), VCE133033 (-367135), VCE133039 (-329152)
COX11	VCE138269 (-104372), VCE138267|VCE138268 (-100932), VCE138264 (-95173)
CPA1	VCE326179|VCE326180 (+29196)
CPD	VCE134696 (-8741)
CPEB2	VCE238992 (+144591)
CPO	VCE191426 (+214611)
CRB2	VCE361741|VCE361742 (+149331), VCE361919|VCE361920 (+465609)
CREB1	VCE191449 (-339838), VCE191459|VCE191460|VCE191461 (-323567), VCE191462|VCE191463 (-315767), VCE191464|VCE191465 (-314381), VCE191466 (-313163), VCE191467|VCE191468|VCE191469 (-310320), VCE191470 (-309729), VCE191471 (-309402), VCE191472|VCE191473|VCE191474 (-306808)
CRIM1	VCE164244|VCE164245 (-346422)
CRISPLD1	VCE337199 (+476132)
CRNKL1	VCE198096 (-220942)
CRTAC1	VCE43185 (-62450), VCE43165|VCE43166 (-12298)
CSF3R	VCE4039 (-494858), VCE4030|VCE4031 (-459131), VCE4020 (-439872), VCE3998 (-370582), VCE3993|VCE3994|VCE3995 (-361894), VCE3980 (-304774), VCE3974 (-294236), VCE3967|VCE3968 (-272525)
CSMD2	VCE3440|VCE3441|VCE3442 (+267417)
CSMD3	VCE342704|VCE342705|VCE342706|VCE342707 (+234835)
CSNK1A1	VCE278717|VCE278718 (+32747)
CSNK2A3	VCE49833 (-210455)
CTAGE1	VCE144901 (-496913), VCE144900 (-496041), VCE144893|VCE144894 (-481754), VCE144890|VCE144891 (-466095), VCE144882|VCE144883 (-439273), VCE144840 (-274268)
CTDSPL	VCE215062 (+57305)
CTGF	VCE302249|VCE302250 (-189053)
CTIF	VCE149956|VCE149957 (-309673), VCE149981|VCE149982 (-175564)
CTNNA2	VCE171980 (+273599)
CTNNBL1	VCE199594 (-78275), VCE199599 (-63048)
CTTNBP2NL	VCE17620|VCE17621 (-78750), VCE17627 (-40196)
CWC27	VCE265596|VCE265597|VCE265598|VCE265599|VCE265600|VCE265601|VCE265602 (+298332)
CXCR4	VCE177722|VCE177723 (-73248), VCE177721 (-63017)
CYLD	VCE124054|VCE124055 (+404707)
CYP26B1	VCE171252 (-429055), VCE171110|VCE171111|VCE171112 (+202566), VCE171081 (+316620)
CYP7B1	VCE335660|VCE335661 (-367343), VCE335659 (-366379), VCE335648|VCE335649 (-346364), VCE335629|VCE335630|VCE335631 (-225948)
CYYR1	VCE204946 (+209929)
DAAM1	VCE99578|VCE99579 (-423011)
DAB1	VCE7864|VCE7865|VCE7866|VCE7867|VCE7868|VCE7869 (-464038), VCE7845 (-412628), VCE7821|VCE7822 (-376525), VCE7757|VCE7758 (-176765), VCE7689|VCE7690 (+8570), VCE7641 (+129807), VCE7640 (+132382), VCE7638|VCE7639 (+143428), VCE7637 (+146289), VCE7636 (+147676), VCE7634|VCE7635 (+148727), VCE7633 (+149916), VCE7629|VCE7630 (+158635), VCE7628 (+165029), VCE7627 (+165402), VCE7624|VCE7625|VCE7626 (+168033), VCE7623 (+170079)
DAB2IP	VCE361490 (+183665), VCE361518 (+394001)
DACH1	VCE86914|VCE86915 (-497922), VCE86911|VCE86912|VCE86913 (-486408), VCE86896|VCE86897 (-431783), VCE86838|VCE86839 (-297704), VCE86792|VCE86793|VCE86794|VCE86795|VCE86796 (-205121), VCE86769|VCE86770|VCE86771 (-137296), VCE86741|VCE86742 (-58161), VCE86543|VCE86544 (+245626)
DACT1	VCE99578|VCE99579 (+202265)
DAOA	VCE91445|VCE91446|VCE91447|VCE91448|VCE91449|VCE91450|VCE91451 (-102320)
DAP	VCE260222|VCE260223|VCE260224 (-404446)
DAPK1	VCE356814 (-499708), VCE356840|VCE356841 (-296363)
DBC1	VCE361121 (-360117), VCE361001|VCE361002 (+35599), VCE360930|VCE360931|VCE360932 (+367720), VCE360894|VCE360895 (+492060)
DBP	VCE158387 (-7772)
DBX1	VCE51362|VCE51363|VCE51364|VCE51365 (-17028)
DCAF8	VCE21216|VCE21217 (+17104)
DCC	VCE150482|VCE150483 (+249529)
DCHS1	VCE49244 (-2289)
DCLK2	VCE254544 (-383965), VCE254663|VCE254664|VCE254665 (+236926), VCE254717|VCE254718|VCE254719|VCE254720|VCE254721|VCE254722|VCE254723 (+360453)
DCLK3	VCE214955|VCE214956|VCE214957 (+144290)
DCT	VCE89856|VCE89857 (+428476)
DCTD	VCE258262 (+20515)
DCUN1D4	VCE243265 (-190)
DDX10	VCE59630|VCE59631 (+497460)
DDX18	VCE175701|VCE175702|VCE175703 (+238864), VCE175704 (+239364), VCE175714|VCE175715|VCE175716|VCE175717|VCE175718 (+250551)
DDX20	VCE17519|VCE17520 (+106464), VCE17541 (+203661)
DDX53	VCE368048|VCE368049|VCE368050 (-483040), VCE368176 (+141882), VCE368183|VCE368184|VCE368185|VCE368186 (+175639), VCE368195|VCE368196|VCE368197|VCE368198|VCE368199|VCE368200 (+228473)
DEFB112	VCE291177 (-471889), VCE291174 (-446027)
DENND1A	VCE361919|VCE361920 (+108238), VCE361741|VCE361742 (+424516)
DENND4B	VCE20678 (+17440), VCE20677 (+17835)
DERA	VCE66046 (+225886), VCE66062 (+264557), VCE66093|VCE66094|VCE66095 (+337970)
DGKH	VCE82023 (+98886), VCE82031|VCE82032 (+217908)
DGUOK	VCE171448 (+82083)
DHRS7	VCE99727 (-46203)
DHX15	VCE240476|VCE240477|VCE240478|VCE240479 (+448652)
DIAPH3	VCE84803|VCE84804|VCE84805|VCE84806 (-161362), VCE84762|VCE84763|VCE84764|VCE84765 (-66910), VCE84648|VCE84649 (+395107), VCE84603|VCE84604|VCE84605 (+496065)
DIO2	VCE102808 (-68204), VCE102765 (+155108), VCE102748|VCE102749 (+290717)
DISP2	VCE109555 (-30893)
DKK1	VCE36981|VCE36982|VCE36983 (+82003)
DLGAP1	VCE143662 (-308236)
DLGAP2	VCE329156|VCE329157 (-437402)
DLL1	VCE306174 (-1545), VCE306172 (+3875)
DMBX1	VCE5734|VCE5735 (-53808)
DMP1	VCE247020 (-18391)
DMRT1	VCE345924|VCE345925 (+85717)
DMRT2	VCE345995|VCE345996 (+202810)
DMRT3	VCE345924|VCE345925 (-49557)
DMRTA2	VCE6677|VCE6678 (-276636), VCE6644|VCE6645|VCE6646 (-210150), VCE6593 (-56565), VCE6592 (-56162), VCE6540|VCE6541 (+114248)
DMRTB1	VCE7053 (+161133)
DNAH11	VCE312255 (+310717), VCE312256 (+324252), VCE312257 (+325084), VCE312258|VCE312259 (+325361), VCE312260 (+338073), VCE312261 (+340096)
DNAH9	VCE132808 (+258738)
DNAJC15	VCE82066 (-445730), VCE82161|VCE82162 (+190105)
DNAJC7	VCE136344 (-400)
DOCK10	VCE194437 (-180493)
DOK5	VCE202082|VCE202083 (+412438)
DPF3	VCE101568|VCE101569 (+5722), VCE101562 (+23990), VCE101560 (+36960), VCE101559 (+42636), VCE101557|VCE101558 (+67848), VCE101555 (+70457), VCE101554 (+70629)
DPH6	VCE108280|VCE108281|VCE108282|VCE108283 (-494122), VCE108253|VCE108254 (-428117), VCE108235 (-412459), VCE108199|VCE108200|VCE108201 (-326587), VCE108185 (-308261), VCE108183|VCE108184 (-307240), VCE108171|VCE108172 (-288478), VCE108093|VCE108094|VCE108095|VCE108096|VCE108097 (-163904), VCE108048 (-84081), VCE108042|VCE108043|VCE108044|VCE108045|VCE108046 (-80835), VCE107988|VCE107989 (+164553), VCE107934|VCE107935|VCE107936|VCE107937 (+292222), VCE107900|VCE107901|VCE107902 (+362860)
DRGX	VCE36672|VCE36673|VCE36674|VCE36675 (+130090)
DROSHA	VCE261953|VCE261954 (+250451)
DSCAM	VCE206138|VCE206139|VCE206140|VCE206141 (+299010)
DSG3	VCE146377|VCE146378 (-67161)
DSG4	VCE146377|VCE146378 (+3751)
DSPP	VCE247020 (+23387)
DTNBP1	VCE286774 (+71297), VCE286765 (+258415)
DUSP4	VCE331747 (-459842)
DYM	VCE150089 (+486686)
DYNC1I1	VCE321551 (+395798)
DYNLRB2	VCE130315 (-111426)
DYSF	VCE171008 (+129418), VCE171024 (+164420), VCE171081 (+364715), VCE171110|VCE171111|VCE171112 (+478769)
DZIP1	VCE90151 (+28332)
EBF1	VCE280012|VCE280013|VCE280014|VCE280015|VCE280016 (+378099)
EBF2	VCE331286|VCE331287 (+156989)
EBF3	VCE48262|VCE48263|VCE48264 (+315658)
EDNRB	VCE87786 (+190931)
EEFSEC	VCE228124 (-9138)
EFCAB1	VCE333784 (-81366)
EFCAB11	VCE104125 (+145119), VCE104121|VCE104122|VCE104123|VCE104124 (+147461)
EFEMP1	VCE166978 (-189748)
EFHD1	VCE194981 (+13869)
EFNA1	VCE20798|VCE20799 (+1852)
EFNA5	VCE273048|VCE273049|VCE273050|VCE273051 (-244403), VCE272839|VCE272840 (+79911), VCE272677|VCE272678|VCE272679|VCE272680|VCE272681|VCE272682 (+328342)
EFNB2	VCE91642|VCE91643|VCE91644 (+129573), VCE91616 (+258229), VCE91565|VCE91566|VCE91567 (+482998), VCE91561 (+491847)
EGFLAM	VCE262607 (-319266)
EGLN3	VCE95807|VCE95808|VCE95809 (+141337), VCE95731|VCE95732|VCE95733 (+217636), VCE95658|VCE95659 (+276559), VCE95640|VCE95641|VCE95642|VCE95643|VCE95644 (+307496), VCE95619|VCE95620 (+331040), VCE95583|VCE95584 (+383607), VCE95544|VCE95545|VCE95546|VCE95547 (+429565)
EGR2	VCE38241 (-11116)
EGR3	VCE330970|VCE330971 (-211226)
EGR4	VCE171389 (-45623)
EHHADH	VCE235934|VCE235935 (+95643)
EIF2B2	VCE101857|VCE101858 (+39328)
EIF2B3	VCE5541|VCE5542|VCE5543|VCE5544 (+22083)
EIF3H	VCE343409|VCE343410 (+46675)
ELAVL4	VCE6426|VCE6427 (-1926), VCE6540|VCE6541 (+202960)
ELMO1	VCE314699 (+487240)
EMC2	VCE342376 (+197576)
EMC8	VCE130745 (+102487)
